address,original_name,proposed_name,subsystem,confidence,rationale
00401B5F,FUN_00401b5f,SelectInstallationDirectory,loader/install,high,"Tries Windows\ProgramData, Windows\Intel, additional fallback(s), then temp parent."
00401CE8,FUN_00401ce8,InstallAndStartService,loader/persistence,high,"Creates/starts auto-start service named with generated host-derived string; command is cmd.exe /c ""<tasksche path>""."
00401DAB,FUN_00401dab,ExtractEmbeddedResourceArchive,loader/resources,high,"Finds XIA resource 2058, opens password-protected ZIP, enumerates and extracts entries; preserves existing c.wnry."
00401E9E,FUN_00401e9e,PatchConfigWithBitcoinAddress,loader/config,high,"Reads c.wnry, writes one of three embedded Bitcoin addresses at offset 0xB2, writes 0x30C-byte structure back."
00401EFF,FUN_00401eff,WaitForInitializationMutex,loader/synchronization,high,Polls Global\MsWinZonesCacheCounterMutexA0 once per second.
00401F5D,FUN_00401f5d,StartInstalledCopy,loader/install,high,"Tries service launch, then direct hidden CreateProcess fallback, waiting up to 60 seconds for mutex."
00401FE7,FUN_00401fe7,WannaCryLoaderMain,loader/main,high,Real WinMain-equivalent for installer/extractor/inner-payload loader.
004021BD,FUN_004021bd,MemoryLoadLibrary,manual PE loader,high,Convenience wrapper around embedded MemoryModule-style loader.
004021E9,FUN_004021e9,MemoryLoadLibraryEx,manual PE loader,high,Validates and maps an x86 PE image from memory.
00402457,FUN_00402457,CheckInputBufferSize,manual PE loader,high,Bounds check helper with ERROR_INVALID_DATA.
00402470,FUN_00402470,MemoryCopySections,manual PE loader,high,Allocates and copies PE sections.
0040254B,FUN_0040254b,MemoryFinalizeSections,manual PE loader,high,Coalesces sections and applies final protections/discard behavior.
0040264F,FUN_0040264f,MemoryGetSectionSize,manual PE loader,high,Derives effective size for code/data/BSS sections.
0040267B,FUN_0040267b,MemoryFinalizeSection,manual PE loader,high,VirtualProtect or decommit a finalized section range.
0040271D,FUN_0040271d,MemoryExecuteTlsCallbacks,manual PE loader,high,Invokes TLS callbacks with DLL_PROCESS_ATTACH.
00402758,FUN_00402758,MemoryPerformBaseRelocation,manual PE loader,high,Applies IMAGE_REL_BASED_HIGHLOW relocations.
004027DF,FUN_004027df,MemoryBuildImportTable,manual PE loader,high,Loads imported DLLs and resolves imports by name/ordinal.
00402924,FUN_00402924,MemoryGetProcAddress,manual PE loader,high,Resolves exports in the memory-mapped module by name or ordinal.
004029CC,FUN_004029cc,MemoryFreeLibrary,manual PE loader,high,"Runs detach, frees dependencies, releases mapped image and loader state."
00402A46,FUN_00402a46,RijndaelContext_Construct,Rijndael/AES,medium,Initializes cipher object state.
00402A53,FUN_00402a53,RijndaelContext_DeletingDestructor,Rijndael/AES,medium,Deleting destructor wrapper.
00402A6F,FUN_00402a6f,RijndaelContext_Destruct,Rijndael/AES,medium,Base destructor.
00402A76,FUN_00402a76,RijndaelInitialize,Rijndael/AES,high,Validates 128/192/256-bit key and block lengths; builds encryption/decryption round keys.
00402E7E,FUN_00402e7e,RijndaelEncryptBlock128,Rijndael/AES,medium,Specialized 128-bit block encryption core.
004031BC,FUN_004031bc,RijndaelDecryptBlock128,Rijndael/AES,medium,Specialized 128-bit block decryption core.
0040350F,FUN_0040350f,RijndaelEncryptBlock,Rijndael/AES,high,General block encryption dispatcher/core.
00403797,FUN_00403797,RijndaelDecryptBlock,Rijndael/AES,high,General block decryption dispatcher/core.
00403A28,FUN_00403a28,XorCipherBlock,Rijndael/AES,high,XOR helper used for chained block mode.
00403A77,FUN_00403a77,RijndaelTransformBuffer,Rijndael/AES,high,Processes whole buffers; mode 1 matches CBC decryption used for t.wnry.
00407070,FUN_00407070,CreateDirectoryTree,ZIP extraction,high,Recursively creates directory components for ZIP entries.
00407136,FUN_00407136,ExtractZipEntry,ZIP extraction,high,Extracts one selected entry to disk or buffer and restores timestamps.
0040747B,FUN_0040747b,CloseZipContextInternal,ZIP extraction,high,Closes current entry and underlying archive context.
004074A4,FUN_004074a4,OpenZipArchiveInternal,ZIP extraction,high,Allocates ZIP wrapper and opens archive from supplied memory interface.
00407527,FUN_00407527,ZipContext_Construct,ZIP extraction,high,Initializes ZIP extraction context and optional destination root.
00407572,FUN_00407572,ZipContext_Cleanup,ZIP extraction,high,Frees destination path and scratch buffer.
004075AD,FUN_004075ad,OpenEmbeddedZipArchive,ZIP extraction,high,Opens an archive from memory using the supplied password.
004075C4,FUN_004075c4,QueryEmbeddedZipEntry,ZIP extraction,high,Returns archive item count or metadata/name for a selected index.
00407603,FUN_00407603,ExtractEmbeddedZipEntryEx,ZIP extraction,high,Generic entry extraction wrapper.
0040763D,FUN_0040763d,ExtractEmbeddedZipEntryToDisk,ZIP extraction,high,Extracts an archive entry to disk.
00407656,FUN_00407656,CloseEmbeddedZipArchive,ZIP extraction,high,Closes and frees ZIP archive wrapper.
0040792A,FUN_0040792a,ConfigureFloatingPointRuntime,MSVC CRT,high,Calls _controlfp during CRT initialization; not malware logic.
0040793F,FUN_0040793f,UserMathErrorStub,MSVC CRT,high,Empty CRT math-error stub.
